"y" "roach1" "treatment" "senior" "exposure2"
153 3.08 1 0 0.8
127 3.3125 1 0 0.6
7 0.0167 1 0 1
7 0.03 1 0 1
0 0.02 1 0 1.14285714285714
0 0 1 0 1
73 0.7 1 0 0.8
24 0.6456 1 0 1.14285714285714
2 0.01 0 0 1
2 0.14 0 0 1.14285714285714
0 1.3825 0 0 1
21 0.16 0 0 1
0 0.97 0 0 1
179 0.98 0 0 0.8
136 0.44 0 0 1
104 4.5 0 0 0.8
2 0.3667 0 0 0.8
5 0.75 0 0 1
1 0.02 0 0 1
203 3.425 0 0 1
32 0.225 0 0 1
1 0.04 0 0 1
135 0.94 0 0 1
59 1.3213 0 0 0.857142857142857
29 0.8 0 0 1
120 0.95 0 0 1
44 0.3413 0 0 0.8
1 0.19 0 0 1
2 0.25 0 0 1
193 0.575 0 0 1
13 0.0311 0 0 1
37 0.105 0 0 1
2 0.47 0 0 1
0 0.0263 0 0 1
3 2.04 0 0 1
0 0 0 0 1
0 0 0 0 1
15 2.4625 0 0 0.8
11 0.7622 0 0 1.57142857142857
19 0.15 0 0 1.42857142857143
0 0.1488 0 0 1
19 0.51 0 0 1
4 0.15 0 0 1
122 0.525 0 0 0.8
48 0.1375 0 0 1
0 0.0117 0 0 1
0 0.01 0 0 1
3 0.02 0 0 1
0 0 0 0 1
9 0.02 0 0 1
0 0.02 0 0 1.14285714285714
0 0.3 0 0 1.14285714285714
0 0.07 0 0 1
12 0.18 0 0 1
0 0.02 0 0 0.8
357 2.66 0 0 1
11 1.74 1 0 0.914285714285714
60 2.52 1 0 1
0 0.0088 1 0 1.28571428571429
159 3.725 1 0 1
50 0.42 1 0 1
48 0.19 1 0 0.771428571428571
178 2.63 1 0 1
4 0.34 1 0 1.42857142857143
6 0.0175 1 0 1
0 2.135 1 0 0.771428571428571
33 0.1313 1 0 1
127 1.54 1 0 1
4 0.21 1 0 1
63 2.2 1 0 1
88 0.3832 1 0 1
5 3.525 1 0 0.6
0 0.07 1 0 1
0 0.04 1 0 1
62 0.595 1 0 1
4 0.075 1 0 1
150 1.1288 1 0 1.28571428571429
38 1.72 1 0 1
0 0.13 1 0 1
3 0.18 1 0 1
1 0 1 0 1
14 0.27 1 0 1
77 1.48 1 0 1
42 0.32 1 0 1.14285714285714
21 0.28 1 0 1
1 0 1 0 1
45 0.28 1 0 1
0 0 1 1 0.8
0 0.14 1 1 0.8
0 0.05 1 1 1
0 0 1 1 1
0 1.04 1 1 0.685714285714286
183 0.27 1 1 1
28 1.32 1 1 1
49 2.58 1 1 1
1 0.01 1 1 1
0 0.02 1 1 1
0 0.06 1 1 1
3 0.03 1 1 0.8
0 0.03 1 1 0.857142857142857
0 0 1 1 1
0 0 1 1 1
0 0 1 1 1
18 0.0125 1 1 1
0 0 1 1 1
0 0.16 1 1 1
5 0.68 1 1 0.4
0 0.01 1 1 0.8
19 0.18 1 1 1.14285714285714
5 1.2367 1 1 1
0 0.02 1 1 0.8
27 0.825 1 1 1
0 0 1 1 0.2
0 0.0125 1 1 1
77 1.71 1 1 1
1 0.9188 1 1 1
3 0.05 1 1 1
2 0.07 1 1 1
0 0 1 1 1
0 0.04 1 1 1
22 0.5375 1 1 1
102 1.3806 1 1 1.14285714285714
0 0.01 1 1 1.14285714285714
0 0.0125 1 1 1
0 0.28 1 1 0.8
0 0.15 1 1 1
0 0.0088 1 1 0.8
0 0 1 1 1
0 0.33 1 1 1
4 1.3625 1 1 4.28571428571429
12 1.275 1 1 0.8
2 0.02 1 1 0.8
0 0.02 1 1 0.8
0 0 1 1 1
1 0.03 1 1 1
0 0.46 1 1 1.28571428571429
40 0.68 1 1 1
0 0 1 1 1
1 0.49 1 1 1
2 0.2713 1 1 1
27 0.455 1 0 1
0 0 1 0 0.457142857142857
2 0.04 1 0 1
0 0 1 0 2.42857142857143
0 0.01 1 0 1.42857142857143
0 0 1 0 1
0 0 1 0 1
3 0.105 1 0 1.14285714285714
1 0 1 0 1
20 0.03 1 0 1.14285714285714
0 0 1 0 1
0 0 1 0 1
0 0 1 0 1
0 0.0375 1 0 0.8
0 0 1 0 1.14285714285714
0 0 1 0 1
0 0 0 0 0.8
0 0.0088 0 0 1.57142857142857
0 0.02 1 0 1
53 0.81 1 0 1.14285714285714
69 0.31 1 0 2.28571428571429
